Start,row_col,Crop,Year,SOCtop,SOCbottom,DeltaSOCtop,DeltaSOCbottom,Nmin,NLeach,CO2emission,Yield,IniSOCtop,IniSOCbottom
short,128_115,WW,2000_2010,1.3527741,0.4875696,-0.2639277,-0.0511682,32.570048,29.62363636,6119.727414,12144.43,1.45,0.5
short,73_50,WW,2000_2010,1.4861215,1.0333718,-1.3350824,-0.0546465,43.942238,104.5325455,4705.398118,8149.53,2.72,1.07
short,114_81,WW,2000_2010,0.7987814,0.3692873,-0.3751302,-0.0538132,40.892069,42.10127273,3645.966592,9251.15,0.93,0.38
short,149_122,WW,2000_2010,0.5187077,0.2057428,0.2966454,-0.0443843,24.572898,39.41336364,3693.875881,10252.39,0.4,0.21
short,101_122,WW,2000_2010,0.828075,0.2818231,-0.388462,-0.053919,41.326267,47.17518182,4161.081175,9363.67,0.99,0.29
short,115_65,WW,2000_2010,0.7841663,0.3596184,-0.6800896,-0.0532717,32.510191,64.005,3243.753493,8777.78,1,0.37
short,144_115,WW,2000_2010,0.6771463,0.3034555,-0.1909917,-0.0463128,34.738632,39.34336364,3350.99191,9102.98,0.7,0.31
short,44_127,WW,2000_2010,1.0556958,0.414247,-0.684067,-0.0592124,120.16124,91.01063636,8274.837013,3587.34,1,0.43
short,56_127,WW,2000_2010,0.7237521,0.4137088,-8.72E-03,-0.0560257,95.962668,80.535,7542.256317,4244.04,0.65,0.43
short,113_122,WW,2000_2010,0.9262334,0.3792334,-0.7320396,-0.0530967,37.74743,61.75663636,3865.106885,9185.84,1.25,0.39
short,172_115,WW,2000_2010,0.4972527,0.2257962,-0.3331179,-0.0435967,24.539571,53.86936364,2044.210546,7318.12,0.5,0.23
short,137_122,WW,2000_2010,1.031695,0.3612074,-0.0722725,-0.0502595,33.157745,33.63536364,4978.569539,10953.62,1,0.37
short,80_85,WW,2000_2010,1.4594782,0.4851954,-0.9277424,-0.0546529,38.931502,73.11145455,5288.622887,11073.77,2.18,0.5
short,125_122,WW,2000_2010,1.0384508,0.4874599,-0.6928655,-0.0513529,45.183425,53.65872727,2835.726814,7771.38,1.39,0.5
short,60_127,WW,2000_2010,1.2056376,0.5893616,-0.5841987,-0.0573591,96.568679,24.16009091,6817.560782,8487.27,1.5,0.61
short,51_56,WW,2000_2010,0.8007945,0.385824,-0.5849063,-0.0565646,71.474061,21.68345455,5580.604642,9819.96,0.98,0.4
short,121_80,WW,2000_2010,0.7787794,0.2921929,0.024825,-0.0510862,32.84605,47.93109091,4482.186405,10158.34,0.74,0.3
short,48_156,WW,2000_2010,0.8990996,0.386686,-0.0305901,-0.0581225,67.302436,16.81290909,6761.561955,7873.89,0.75,0.4
short,129_153,WW,2000_2010,1.1957754,0.2733231,-0.1196743,-0.050402,33.128158,39.07227273,5567.606063,10630.39,1.2,0.28
short,97_82,WW,2000_2010,0.6563386,0.3493937,-0.171054,-0.0546535,30.109472,59.83372727,3854.647514,10365.64,0.74,0.36
short,46_51,WW,2000_2010,1.0599149,0.5614894,-0.0447192,-0.0535193,83.860156,25.93772727,6851.725092,7533.21,1.04,0.58
short,84_119,WW,2000_2010,1.1444457,0.4859126,-1.0334272,-0.0533584,27.155729,77.95154545,4136.626646,9263.35,1.45,0.5
short,89_86,WW,2000_2010,0.906927,0.3782152,-0.8491093,-0.0548551,44.091669,66.78681818,4841.938125,9496.16,1.3,0.39
short,58_55,WW,2000_2010,0.6789371,0.3655533,0.1232769,-0.0546307,60.967462,25.265,5660.398426,8834.88,0.6,0.38
short,73_161,WW,2000_2010,0.8045765,0.3868209,-0.3071503,-0.0585061,47.626144,38.51190909,5455.536009,9504.61,0.83,0.4
short,50_148,WW,2000_2010,1.2434182,0.4841456,-0.4652252,-0.0558146,49.30834,52.57836364,7028.682969,10273.87,1.43,0.5
short,64_57,WW,2000_2010,0.8541013,0.3866545,0.0102065,-0.0558187,58.266455,18.11081818,4838.721921,10578.52,0.83,0.4
short,96_119,WW,2000_2010,0.8709516,0.3598646,-0.4365208,-0.0543185,56.320472,27.66154545,4079.992845,9214.06,1,0.37
short,57_161,WW,2000_2010,0.982316,0.3870722,-0.1883661,-0.0585673,49.393901,28.45263636,5772.282798,11681.05,1,0.4
short,91_130,WW,2000_2010,0.9329042,0.3683203,-0.466977,-0.0557764,55.238006,31.916,5555.613985,9278.59,1.07,0.38
short,103_86,WW,2000_2010,0.9564701,0.5631658,-0.4922531,-0.0544778,34.623799,60.34609091,4347.974035,10941.12,1.16,0.58
short,120_64,WW,2000_2010,0.8104259,0.3890401,-0.9291894,-0.0527978,31.609923,78.17927273,2542.378607,7158.66,1.16,0.4
short,83_130,WW,2000_2010,0.6582902,0.4361666,-0.3924459,-0.0559215,45.636318,35.70563636,3598.960711,8624.35,0.84,0.45
short,45_161,WW,2000_2010,0.813362,0.2613924,-0.1026432,-0.0544044,41.264471,31.97445455,6914.374817,10283.32,0.7,0.27
short,66_151,WW,2000_2010,0.9387824,0.3581453,-0.2183854,-0.0567403,47.679114,34.22063636,6204.652545,10313.98,1,0.37
short,83_129,WW,2000_2010,0.8517437,0.4361143,-0.8071183,-0.0562874,51.89829,41.27218182,3911.794265,8588.61,1.19,0.45
short,91_129,WW,2000_2010,1.2546509,0.7565453,-0.8142636,-0.0555174,60.165566,42.12727273,5185.658889,9343.23,1.65,0.78
short,131_154,WW,2000_2010,1.0797473,0.3611947,-0.0795867,-0.0502719,31.992372,39.88727273,5153.163588,10648.88,1.07,0.37
short,61_80,WW,2000_2010,0.9400513,0.3778703,-0.3232344,-0.0566828,65.039356,16.31436364,5367.518406,11144.64,0.87,0.39
